,Member_number,Date,itemDescription,TransactionID
180,1752,2015-04-06,Other Vegetables,1752_2015-04-06
181,3942,2015-11-10,Other Vegetables,3942_2015-11-10
182,3296,2015-08-17,Soda,3296_2015-08-17
183,2257,2015-02-05,Herbs,2257_2015-02-05
184,4313,2015-07-28,Frankfurter,4313_2015-07-28
185,2001,2015-08-21,Rolls/Buns,2001_2015-08-21
186,2449,2015-07-08,Curd,2449_2015-07-08
187,4914,2015-04-12,Frankfurter,4914_2015-04-12
188,2764,2015-07-24,Other Vegetables,2764_2015-07-24
189,4187,2015-05-09,Dog Food,4187_2015-05-09
190,1392,2015-04-20,Specialty Bar,1392_2015-04-20
191,3427,2015-04-28,Curd,3427_2015-04-28
192,1411,2015-02-20,Frankfurter,1411_2015-02-20
193,3390,2015-11-14,Soda,3390_2015-11-14
194,4787,2015-08-01,Beef,4787_2015-08-01
195,3310,2015-01-17,Canned Beer,3310_2015-01-17
196,1782,2015-10-10,Pork,1782_2015-10-10
197,3375,2015-04-26,Frankfurter,3375_2015-04-26
198,2760,2015-01-07,Sausage,2760_2015-01-07
199,4249,2015-09-13,Canned Beer,4249_2015-09-13
200,2904,2015-06-06,Specialty Chocolate,2904_2015-06-06
201,4090,2015-02-26,Curd,4090_2015-02-26
202,3060,2015-07-05,Canned Beer,3060_2015-07-05
203,3768,2015-10-07,Whole Milk,3768_2015-10-07
204,1232,2015-01-21,Rolls/Buns,1232_2015-01-21
205,1360,2015-10-23,Pork,1360_2015-10-23
206,1107,2015-10-01,Citrus Fruit,1107_2015-10-01
207,2865,2015-11-04,Pot Plants,2865_2015-11-04
208,2958,2015-06-14,Rolls/Buns,2958_2015-06-14
209,2448,2015-07-12,Butter,2448_2015-07-12
210,1222,2015-09-24,Condensed Milk,1222_2015-09-24
211,2943,2015-06-20,Sausage,2943_2015-06-20
212,2270,2015-08-11,Whole Milk,2270_2015-08-11
213,3812,2015-07-21,Sausage,3812_2015-07-21
214,1482,2015-11-22,Beverages,1482_2015-11-22
215,4720,2015-02-22,Beverages,4720_2015-02-22
216,1344,2015-09-04,Bottled Water,1344_2015-09-04
217,2397,2015-10-04,Newspapers,2397_2015-10-04
218,4182,2015-05-12,Cleaner,4182_2015-05-12
219,4487,2015-07-10,Sausage,4487_2015-07-10
220,3467,2015-12-24,Newspapers,3467_2015-12-24
221,2443,2015-11-15,Sausage,2443_2015-11-15
222,2749,2015-01-27,Misc. Beverages,2749_2015-01-27
223,4389,2015-04-13,White Wine,4389_2015-04-13
224,1674,2015-12-04,Sausage,1674_2015-12-04
225,4262,2015-10-16,Meat,4262_2015-10-16
226,2082,2015-04-07,Frankfurter,2082_2015-04-07
227,4494,2015-01-06,Ice Cream,4494_2015-01-06
228,2460,2015-09-28,Canned Beer,2460_2015-09-28
229,4509,2015-11-29,Tropical Fruit,4509_2015-11-29
230,2267,2015-07-03,Meat,2267_2015-07-03
231,4891,2015-09-05,Whole Milk,4891_2015-09-05
232,3962,2015-09-20,Sausage,3962_2015-09-20
233,4964,2015-07-18,Frankfurter,4964_2015-07-18
234,2914,2015-11-30,Meat,2914_2015-11-30
235,2808,2015-05-05,Root Vegetables,2808_2015-05-05
236,1085,2015-08-15,Root Vegetables,1085_2015-08-15
237,3808,2015-08-18,Whole Milk,3808_2015-08-18
238,4149,2015-01-07,Citrus Fruit,4149_2015-01-07
239,2331,2015-06-05,Citrus Fruit,2331_2015-06-05
240,4475,2015-04-03,Other Vegetables,4475_2015-04-03
241,2761,2015-04-25,Citrus Fruit,2761_2015-04-25
242,2620,2015-12-14,Sausage,2620_2015-12-14
243,3206,2015-10-13,Frankfurter,3206_2015-10-13
244,1226,2015-04-13,Hard Cheese,1226_2015-04-13
245,1395,2015-03-07,Cream Cheese ,1395_2015-03-07
246,2465,2015-06-07,Turkey,2465_2015-06-07
247,3572,2015-07-09,Pork,3572_2015-07-09
248,4387,2015-05-08,Whole Milk,4387_2015-05-08
249,1555,2015-03-27,Rolls/Buns,1555_2015-03-27
250,1181,2015-11-16,Sausage,1181_2015-11-16
251,2814,2015-05-11,Ice Cream,2814_2015-05-11
252,2794,2015-09-16,Liquor,2794_2015-09-16
253,2912,2015-01-28,Pip Fruit,2912_2015-01-28
254,4667,2015-01-12,Root Vegetables,4667_2015-01-12
255,2235,2015-10-25,Soda,2235_2015-10-25
256,2353,2015-05-02,Soda,2353_2015-05-02
257,3449,2015-03-08,Sausage,3449_2015-03-08
258,1058,2015-11-10,Root Vegetables,1058_2015-11-10
259,1027,2015-05-17,Pork,1027_2015-05-17
260,3302,2015-05-22,Pork,3302_2015-05-22
261,2229,2015-05-30,Chocolate,2229_2015-05-30
262,2188,2015-08-15,Fruit/Vegetable Juice,2188_2015-08-15
263,1547,2015-04-18,Pickled Vegetables,1547_2015-04-18
264,1649,2015-06-30,Bottled Water,1649_2015-06-30
265,3254,2015-09-10,Frankfurter,3254_2015-09-10
266,2818,2015-11-07,Tropical Fruit,2818_2015-11-07
267,2703,2015-05-08,Canned Beer,2703_2015-05-08
268,3332,2015-01-31,Root Vegetables,3332_2015-01-31
269,2473,2015-07-01,Meat,2473_2015-07-01
270,2810,2015-12-30,Frankfurter,2810_2015-12-30
271,1033,2015-04-22,Tropical Fruit,1033_2015-04-22
272,4222,2015-05-27,Tropical Fruit,4222_2015-05-27
273,3679,2015-09-21,Citrus Fruit,3679_2015-09-21
274,2212,2015-08-27,Hamburger Meat,2212_2015-08-27
275,1507,2015-06-22,Chicken,1507_2015-06-22
276,2870,2015-01-21,Chicken,2870_2015-01-21
277,3429,2015-04-26,Frankfurter,3429_2015-04-26
278,4148,2015-04-09,Canned Beer,4148_2015-04-09
279,2970,2015-12-30,Turkey,2970_2015-12-30
280,2013,2015-08-30,Packaged Fruit/Vegetables,2013_2015-08-30
281,3967,2015-05-30,Pasta,3967_2015-05-30
282,2885,2015-05-15,Citrus Fruit,2885_2015-05-15
283,3935,2015-07-02,Sausage,3935_2015-07-02
284,3283,2015-05-01,Whole Milk,3283_2015-05-01
285,3268,2015-11-06,Canned Beer,3268_2015-11-06
286,3677,2015-04-30,Citrus Fruit,3677_2015-04-30
287,3495,2015-06-27,Liquor (Appetizer),3495_2015-06-27
288,1410,2015-10-04,Citrus Fruit,1410_2015-10-04
289,2440,2015-06-06,Sausage,2440_2015-06-06
290,4088,2015-01-13,Chicken,4088_2015-01-13
291,2469,2015-09-23,Hamburger Meat,2469_2015-09-23
292,4229,2015-03-06,Sausage,4229_2015-03-06
293,2728,2015-08-02,Beef,2728_2015-08-02
294,4694,2015-01-25,Citrus Fruit,4694_2015-01-25
295,2836,2015-12-29,Uht-Milk,2836_2015-12-29
296,1311,2015-02-12,Candy,1311_2015-02-12
297,1760,2015-01-23,Newspapers,1760_2015-01-23
298,3656,2015-03-02,Beef,3656_2015-03-02
299,3720,2015-05-28,Sausage,3720_2015-05-28
300,2996,2015-09-26,Frankfurter,2996_2015-09-26
301,1949,2015-07-22,Canned Beer,1949_2015-07-22
302,4498,2015-02-11,Bottled Beer,4498_2015-02-11
303,2447,2015-12-28,Onions,2447_2015-12-28
304,1952,2015-03-23,Tropical Fruit,1952_2015-03-23
305,4099,2015-01-27,Bottled Water,4099_2015-01-27
306,1804,2015-03-12,Beef,1804_2015-03-12
307,1510,2015-05-16,Sausage,1510_2015-05-16
308,2879,2015-04-18,Hair Spray,2879_2015-04-18
309,4899,2015-03-12,Chicken,4899_2015-03-12
310,4326,2015-09-29,Pork,4326_2015-09-29
311,1670,2015-05-17,Ice Cream,1670_2015-05-17
312,1117,2015-05-24,Meat,1117_2015-05-24
313,1346,2015-04-03,Other Vegetables,1346_2015-04-03
314,1178,2015-11-15,Bottled Water,1178_2015-11-15
315,1649,2015-06-25,Tropical Fruit,1649_2015-06-25
316,4651,2015-06-21,Photo/Film,4651_2015-06-21
317,4243,2015-04-02,Sausage,4243_2015-04-02
318,4429,2015-07-21,Grapes,4429_2015-07-21
319,4645,2015-07-25,Domestic Eggs,4645_2015-07-25
320,4019,2015-07-24,Rolls/Buns,4019_2015-07-24
321,4459,2015-04-26,Tropical Fruit,4459_2015-04-26
322,3006,2015-12-27,Chicken,3006_2015-12-27
323,1834,2015-09-17,Frankfurter,1834_2015-09-17
324,3236,2015-07-04,Berries,3236_2015-07-04
325,1765,2015-03-11,Margarine,1765_2015-03-11
326,3855,2015-03-09,Tropical Fruit,3855_2015-03-09
327,4392,2015-11-28,Ham,4392_2015-11-28
328,3330,2015-07-26,Hamburger Meat,3330_2015-07-26
329,1723,2015-09-02,Yogurt,1723_2015-09-02
330,4110,2015-03-30,Soda,4110_2015-03-30
331,2600,2015-01-28,Yogurt,2600_2015-01-28
332,2946,2015-10-07,Soda,2946_2015-10-07
333,2426,2015-09-08,Bottled Water,2426_2015-09-08
334,4170,2015-05-03,Sausage,4170_2015-05-03
335,1109,2015-04-06,Citrus Fruit,1109_2015-04-06
336,3429,2015-01-04,Shopping Bags,3429_2015-01-04
337,2055,2015-02-04,Newspapers,2055_2015-02-04
338,2480,2015-09-20,Frankfurter,2480_2015-09-20
339,2441,2015-05-30,Sausage,2441_2015-05-30
340,1054,2015-10-04,Frankfurter,1054_2015-10-04
341,4818,2015-01-11,Salt,4818_2015-01-11
342,3379,2015-01-21,Oil,3379_2015-01-21
343,3939,2015-02-10,Curd,3939_2015-02-10
344,1367,2015-08-05,Other Vegetables,1367_2015-08-05
345,1043,2015-01-10,Citrus Fruit,1043_2015-01-10
346,2231,2015-10-17,Frankfurter,2231_2015-10-17
347,3235,2015-12-28,Root Vegetables,3235_2015-12-28
348,4554,2015-07-16,Tropical Fruit,4554_2015-07-16
349,3245,2015-01-24,Beef,3245_2015-01-24
350,2996,2015-05-19,Berries,2996_2015-05-19
351,2507,2015-01-05,Canned Beer,2507_2015-01-05
352,4186,2015-10-25,Whipped/Sour Cream,4186_2015-10-25
353,3929,2015-04-28,Root Vegetables,3929_2015-04-28
354,3760,2015-11-22,Whole Milk,3760_2015-11-22
355,4928,2015-08-18,Beef,4928_2015-08-18
356,4217,2015-12-18,Frozen Vegetables,4217_2015-12-18
357,1174,2015-02-11,Rolls/Buns,1174_2015-02-11
358,4103,2015-06-19,Whole Milk,4103_2015-06-19
359,4408,2015-03-13,Whole Milk,4408_2015-03-13
360,2588,2015-12-28,Citrus Fruit,2588_2015-12-28
361,2598,2015-11-11,Pastry,2598_2015-11-11
362,1518,2015-12-11,Frankfurter,1518_2015-12-11
363,2702,2015-04-08,Tropical Fruit,2702_2015-04-08
364,1001,2015-01-20,Frankfurter,1001_2015-01-20
365,2270,2015-09-30,Berries,2270_2015-09-30
366,2838,2015-11-10,Rolls/Buns,2838_2015-11-10
367,1683,2015-05-26,Root Vegetables,1683_2015-05-26
368,4040,2015-04-03,Yogurt,4040_2015-04-03
369,3897,2015-08-23,Other Vegetables,3897_2015-08-23
370,2200,2015-03-11,Berries,2200_2015-03-11
371,4073,2015-01-29,Berries,4073_2015-01-29
372,3700,2015-04-19,Other Vegetables,3700_2015-04-19
373,3973,2015-06-10,Rolls/Buns,3973_2015-06-10
374,2715,2015-07-06,Ham,2715_2015-07-06
375,3967,2015-11-23,Whole Milk,3967_2015-11-23
376,4002,2015-09-03,Tropical Fruit,4002_2015-09-03
377,2962,2015-03-01,Bottled Water,2962_2015-03-01
378,4340,2015-12-25,Butter Milk,4340_2015-12-25
379,2092,2015-11-06,Newspapers,2092_2015-11-06
380,3143,2015-05-24,Coffee,3143_2015-05-24
381,2209,2015-10-03,Bottled Beer,2209_2015-10-03
382,2816,2015-08-22,Onions,2816_2015-08-22
383,2659,2015-06-01,Hamburger Meat,2659_2015-06-01
384,1588,2015-10-13,Sausage,1588_2015-10-13
385,1144,2015-10-15,Hard Cheese,1144_2015-10-15
386,2166,2015-12-10,Sausage,2166_2015-12-10
387,3300,2015-10-06,Hamburger Meat,3300_2015-10-06
388,3944,2015-01-03,Onions,3944_2015-01-03
389,4979,2015-04-24,Coffee,4979_2015-04-24
390,2630,2015-01-21,Shopping Bags,2630_2015-01-21
391,4240,2015-04-29,Yogurt,4240_2015-04-29
392,2357,2015-07-08,Soda,2357_2015-07-08
393,1743,2015-04-18,Sliced Cheese,1743_2015-04-18
394,2331,2015-02-15,Sausage,2331_2015-02-15
395,1643,2015-04-28,Yogurt,1643_2015-04-28
396,1291,2015-03-20,Domestic Eggs,1291_2015-03-20
397,3675,2015-07-04,Whole Milk,3675_2015-07-04
398,4134,2015-11-06,Meat,4134_2015-11-06
399,1363,2015-06-21,Dish Cleaner,1363_2015-06-21
400,4212,2015-05-01,Other Vegetables,4212_2015-05-01
401,1500,2015-03-21,Whole Milk,1500_2015-03-21
402,2622,2015-10-01,Other Vegetables,2622_2015-10-01
403,3543,2015-03-18,Tropical Fruit,3543_2015-03-18
404,2525,2015-05-24,Baking Powder,2525_2015-05-24
405,1264,2015-10-12,Specialty Bar,1264_2015-10-12
406,3601,2015-07-06,Ice Cream,3601_2015-07-06
407,1771,2015-03-23,Frankfurter,1771_2015-03-23
408,4694,2015-02-06,Canned Beer,4694_2015-02-06
409,1122,2015-12-21,Bottled Water,1122_2015-12-21
410,3507,2015-08-12,Other Vegetables,3507_2015-08-12
411,4524,2015-04-26,Citrus Fruit,4524_2015-04-26
412,3612,2015-09-27,Sausage,3612_2015-09-27
413,3262,2015-06-11,Domestic Eggs,3262_2015-06-11
414,1897,2015-01-25,Pork,1897_2015-01-25
415,1656,2015-10-30,Specialty Cheese,1656_2015-10-30
416,3953,2015-01-10,Pork,3953_2015-01-10
417,1488,2015-06-21,Beef,1488_2015-06-21
418,1652,2015-03-17,Other Vegetables,1652_2015-03-17
419,4953,2015-09-16,Chicken,4953_2015-09-16
420,3445,2015-04-30,Soda,3445_2015-04-30
421,3180,2015-03-15,Whole Milk,3180_2015-03-15
422,4934,2015-09-06,Rolls/Buns,4934_2015-09-06
423,2980,2015-04-27,Bottled Beer,2980_2015-04-27
424,2763,2015-02-13,Root Vegetables,2763_2015-02-13
425,4819,2015-03-04,Pastry,4819_2015-03-04
426,3169,2015-07-02,Berries,3169_2015-07-02
427,1850,2015-03-11,Citrus Fruit,1850_2015-03-11
428,4285,2015-12-29,Whole Milk,4285_2015-12-29
429,4366,2015-08-13,Soda,4366_2015-08-13
430,2253,2015-06-16,Bottled Water,2253_2015-06-16
431,3398,2015-03-11,Tropical Fruit,3398_2015-03-11
432,2215,2015-07-22,Salty Snack,2215_2015-07-22
433,3737,2015-03-03,Bottled Water,3737_2015-03-03
434,2649,2015-11-28,Chocolate,2649_2015-11-28
435,3203,2015-08-07,Citrus Fruit,3203_2015-08-07
436,4261,2015-02-16,Bottled Water,4261_2015-02-16
437,2435,2015-07-17,Onions,2435_2015-07-17
438,2046,2015-08-21,Dessert,2046_2015-08-21
439,4267,2015-02-11,Beef,4267_2015-02-11
440,1086,2015-12-28,Rolls/Buns,1086_2015-12-28
441,1992,2015-01-04,Beef,1992_2015-01-04
442,3622,2015-07-26,Soda,3622_2015-07-26
443,4700,2015-06-27,Coffee,4700_2015-06-27
444,2272,2015-05-16,Rolls/Buns,2272_2015-05-16
445,1663,2015-05-19,Pork,1663_2015-05-19
446,2519,2015-06-03,Soda,2519_2015-06-03
447,2639,2015-10-30,Sausage,2639_2015-10-30
448,1466,2015-04-19,Beef,1466_2015-04-19
449,4122,2015-10-23,Whole Milk,4122_2015-10-23
450,3598,2015-04-15,Pork,3598_2015-04-15
451,3097,2015-08-10,Berries,3097_2015-08-10
452,1873,2015-09-19,Sausage,1873_2015-09-19
453,1537,2015-02-01,Bottled Water,1537_2015-02-01
454,3960,2015-03-25,Tropical Fruit,3960_2015-03-25
455,1136,2015-06-15,Herbs,1136_2015-06-15
456,2453,2015-12-21,Yogurt,2453_2015-12-21
457,1746,2015-02-15,Instant Food Products,1746_2015-02-15
458,3572,2015-06-09,Specialty Chocolate,3572_2015-06-09
459,3246,2015-06-24,Coffee,3246_2015-06-24
460,3207,2015-11-26,Bottled Beer,3207_2015-11-26
461,1042,2015-02-12,Beef,1042_2015-02-12
462,1176,2015-03-30,Whole Milk,1176_2015-03-30
463,3054,2015-02-23,Frankfurter,3054_2015-02-23
464,4486,2015-12-02,Frankfurter,4486_2015-12-02
465,1580,2015-12-05,Other Vegetables,1580_2015-12-05
466,1623,2015-11-02,Frankfurter,1623_2015-11-02
467,4169,2015-11-24,Whole Milk,4169_2015-11-24
468,2254,2015-01-24,Frankfurter,2254_2015-01-24
469,4095,2015-11-01,Other Vegetables,4095_2015-11-01
470,1264,2015-11-17,Bottled Water,1264_2015-11-17
471,3375,2015-01-06,Pork,3375_2015-01-06
472,3242,2015-05-23,Bottled Water,3242_2015-05-23
473,2227,2015-06-07,Other Vegetables,2227_2015-06-07
474,3847,2015-12-03,Hamburger Meat,3847_2015-12-03
475,3897,2015-05-31,Hamburger Meat,3897_2015-05-31
476,1799,2015-09-27,Shopping Bags,1799_2015-09-27
477,2920,2015-04-26,Whole Milk,2920_2015-04-26
478,3713,2015-01-31,Ice Cream,3713_2015-01-31
479,4230,2015-11-05,Pastry,4230_2015-11-05
480,1455,2015-03-18,Ham,1455_2015-03-18
481,3687,2015-03-18,Frankfurter,3687_2015-03-18
482,3869,2015-08-01,Sausage,3869_2015-08-01
483,2988,2015-10-14,Bottled Beer,2988_2015-10-14
